txn_id,customer_id,transaction_date,transaction_type,transaction_mode,amount,beneficiary_country
TXN000001,CUST00001,2025-07-03,Card Payment,Branch,131851,Malta
TXN000002,CUST00001,2025-04-23,Card Payment,Mobile App,116359,Cayman Islands
TXN000003,CUST00001,2025-03-30,Cash Deposit,Branch,10361,UK
TXN000004,CUST00001,2025-10-18,Card Payment,Branch,96494,UAE
TXN000005,CUST00001,2025-09-10,Card Payment,ATM,11473,Canada
TXN000006,CUST00001,2025-09-02,Wire Transfer,ATM,63542,Malta
TXN000007,CUST00001,2025-06-15,Wire Transfer,Online,55735,Panama
TXN000008,CUST00002,2025-07-06,Wire Transfer,ATM,29458,India
TXN000009,CUST00002,2025-06-04,Cash Withdrawal,Branch,27984,Australia
TXN000010,CUST00002,2025-08-12,NEFT/RTGS,ATM,21878,USA
TXN000011,CUST00002,2025-11-11,Cash Withdrawal,Branch,21956,USA
TXN000012,CUST00002,2025-03-31,NEFT/RTGS,ATM,17727,Australia
TXN000013,CUST00002,2025-12-26,Card Payment,Mobile App,22638,Australia
TXN000014,CUST00003,2025-11-10,Cash Deposit,Online,85132,India
TXN000015,CUST00003,2025-02-09,Cash Deposit,ATM,92030,Germany
TXN000016,CUST00003,2025-12-29,Cash Withdrawal,Mobile App,95681,UK
TXN000017,CUST00004,2025-02-25,Wire Transfer,Online,6993,UK
TXN000018,CUST00004,2025-08-03,Cash Deposit,Mobile App,8425,Germany
TXN000019,CUST00004,2025-09-03,Card Payment,Branch,7382,Germany
TXN000020,CUST00004,2025-01-18,Cash Withdrawal,Online,5675,USA
TXN000021,CUST00004,2025-07-12,Cash Deposit,Online,6450,UK
TXN000022,CUST00004,2025-02-17,Cash Withdrawal,Mobile App,7102,Canada
TXN000023,CUST00004,2025-08-11,Cash Deposit,Online,9537,Australia
TXN000024,CUST00004,2025-04-08,NEFT/RTGS,ATM,7093,India
TXN000025,CUST00005,2025-10-09,NEFT/RTGS,Branch,15072,India
TXN000026,CUST00005,2025-12-05,Card Payment,Mobile App,15189,India
TXN000027,CUST00005,2025-04-16,Cash Deposit,ATM,20418,USA
TXN000028,CUST00006,2025-08-30,NEFT/RTGS,ATM,19483,UK
TXN000029,CUST00006,2025-07-15,Cash Withdrawal,Branch,17632,India
TXN000030,CUST00006,2025-08-14,NEFT/RTGS,ATM,17036,Germany
TXN000031,CUST00006,2025-12-23,Wire Transfer,Online,22839,USA
TXN000032,CUST00006,2025-10-05,NEFT/RTGS,Branch,15705,Australia
TXN000033,CUST00006,2025-10-02,NEFT/RTGS,Branch,23835,Canada
TXN000034,CUST00007,2025-09-15,Card Payment,Branch,93028,UK
TXN000035,CUST00007,2025-08-18,Cash Deposit,Branch,81282,India
TXN000036,CUST00007,2025-12-16,NEFT/RTGS,Branch,69939,USA
TXN000037,CUST00007,2025-11-01,Cash Withdrawal,ATM,60887,Australia
TXN000038,CUST00007,2025-07-23,Card Payment,ATM,71733,Australia
TXN000039,CUST00008,2025-11-16,Card Payment,Mobile App,25022,Canada
TXN000040,CUST00008,2025-03-17,Card Payment,Online,45556,India
TXN000041,CUST00008,2025-10-02,Cash Withdrawal,Mobile App,37690,India
TXN000042,CUST00008,2025-09-06,Card Payment,Mobile App,39742,UK
TXN000043,CUST00009,2025-12-22,NEFT/RTGS,Online,24748,Canada
TXN000044,CUST00009,2025-09-01,Cash Withdrawal,ATM,27146,Germany
TXN000045,CUST00009,2025-06-05,Cash Withdrawal,ATM,21116,India
TXN000046,CUST00009,2025-04-27,Cash Deposit,ATM,28414,Germany
TXN000047,CUST00009,2025-06-14,Cash Withdrawal,Mobile App,18217,Australia
TXN000048,CUST00009,2025-07-28,NEFT/RTGS,ATM,21976,Canada
TXN000049,CUST00010,2025-07-26,Cash Deposit,Online,12601,Canada
TXN000050,CUST00010,2025-04-13,Wire Transfer,Branch,11486,USA
TXN000051,CUST00010,2025-05-21,Cash Withdrawal,Mobile App,7040,India
TXN000052,CUST00011,2025-07-10,NEFT/RTGS,Mobile App,66377,Germany
TXN000053,CUST00011,2025-08-31,Card Payment,ATM,65700,USA
TXN000054,CUST00011,2025-12-19,Wire Transfer,ATM,86824,UK
TXN000055,CUST00011,2025-03-25,Card Payment,Branch,97059,India
TXN000056,CUST00011,2025-07-29,Card Payment,Online,58326,USA
TXN000057,CUST00012,2025-01-05,Cash Deposit,ATM,7678,Germany
TXN000058,CUST00012,2025-06-06,Cash Withdrawal,Mobile App,5226,Canada
TXN000059,CUST00013,2025-06-04,Card Payment,Mobile App,49619,UK
TXN000060,CUST00013,2025-07-11,Card Payment,ATM,77647,Canada
TXN000061,CUST00013,2025-09-04,Wire Transfer,ATM,74512,UK
TXN000062,CUST00013,2025-12-31,Cash Withdrawal,Branch,48718,UK
TXN000063,CUST00013,2025-05-04,Wire Transfer,Mobile App,45133,USA
TXN000064,CUST00013,2025-06-01,Cash Withdrawal,Mobile App,390281,Australia
TXN000065,CUST00013,2025-01-19,Card Payment,Branch,71643,Germany
TXN000066,CUST00014,2025-12-10,Cash Withdrawal,ATM,94859,Australia
